"Object name","Astrometric R.A. (hh:mm:ss.ss)","Astrometric Dec. (dd mm′ss.s″)","RA center dist. (″)","Dec. center dist. (″)","Norm center dist. (″)","Visual magnitude (V)","RA rate (″/h)","Dec. rate (″/h)","",""
"8352 (1989 GE)","04:30:33.56","+21 11'19.4""","-5.0e+3","2.0e+4","1.8e+4","18.5","8.2e+0","7.5e+0","8352","a0008352"
"8426 (1997 ST)","04:25:46.03","+20 32'42.2""","-1.0e+4","1.0e+4","1.7e+4","18.5","2.6e+1","1.8e-1","8426","a0008426"
"8577 Choseikomori (1996 VX8)","04:58:20.10","+18 37'30.8""","2.0e+4","8.0e+3","2.0e+4","18.0","2.3e+1","-5.7e+0","8577","a0008577"
"8692 (1992 WH)","04:47:28.88","+22 49'55.5""","9.0e+3","2.0e+4","2.5e+4","18.5","2.0e+1","-7.8e-1","8692","a0008692"
"8719 Vesmir (1995 VR)","04:22:31.74","+21 17'12.2""","-1.0e+4","2.0e+4","2.1e+4","17.9","1.5e+1","-8.5e+0","8719","a0008719"
"8791 Donyabradshaw (1978 VG11)","04:16:46.55","+17 19'16.1""","-2.0e+4","3.0e+3","1.8e+4","17.8","2.1e+1","9.9e+0","8791","a0008791"
"8807 Schenk (1981 UD23)","05:00:37.62","+20 44'03.8""","2.0e+4","2.0e+4","2.5e+4","18.0","3.1e+1","5.7e+0","8807","a0008807"
"8850 Bignonia (1990 VQ6)","04:45:40.87","+10 05'24.4""","8.0e+3","-2.0e+4","2.4e+4","18.0","1.4e+1","-3.8e+0","8850","a0008850"
"8908 (1995 WY6)","04:35:42.36","+20 52'27.5""","-1.0e+3","2.0e+4","1.6e+4","17.9","8.4e+0","7.3e+0","8908","a0008908"
"8981 (1964 YJ)","04:54:19.13","+10 27'26.7""","2.0e+4","-2.0e+4","2.7e+4","17.6","1.3e+1","-3.5e+0","8981","a0008981"
"8987 Cavancuddy (1978 VD4)","04:47:59.93","+22 43'09.1""","1.0e+4","2.0e+4","2.4e+4","19.3","1.5e+1","5.5e+0","8987","a0008987"
"9079 Gesner (1994 PC34)","04:50:38.89","+09 58'00.0""","1.0e+4","-2.0e+4","2.6e+4","18.7","1.2e+1","-7.9e+0","9079","a0009079"
"9129 (1998 HU144)","04:34:46.58","+20 41'36.2""","-2.0e+3","2.0e+4","1.5e+4","19.0","1.1e+1","1.1e+0","9129","a0009129"
"9240 Nassau (1997 KR3)","04:24:50.95","+12 46'52.8""","-1.0e+4","-1.0e+4","1.7e+4","17.1","1.7e+1","-5.2e-1","9240","a0009240"
"9302 (1985 TB3)","04:19:46.09","+17 12'30.3""","-1.0e+4","3.0e+3","1.5e+4","17.6","2.9e+1","-2.6e+0","9302","a0009302"
"9370 (1993 FC22)","04:48:41.08","+21 04'38.4""","1.0e+4","2.0e+4","1.9e+4","19.3","1.7e+1","1.1e+0","9370","a0009370"
"9406 (1994 WG2)","04:53:04.20","+15 13'07.3""","1.0e+4","-5.0e+3","1.5e+4","18.1","2.2e+1","-3.9e+0","9406","a0009406"
