"Object name","Astrometric R.A. (hh:mm:ss.ss)","Astrometric Dec. (dd mm′ss.s″)","RA center dist. (″)","Dec. center dist. (″)","Norm center dist. (″)","Visual magnitude (V)","RA rate (″/h)","Dec. rate (″/h)","",""
"(2010 XQ94)","04:39:27.87","+18 00'36.8""","2.0e+3","6.0e+3","6.0e+3","23.0","1.1e+1","-1.1e+0","2010 XQ94","bK10X94Q"
"(2010 XP95)","04:48:46.74","+19 40'51.9""","1.0e+4","1.0e+4","1.5e+4","22.9","1.7e+1","5.5e-1","2010 XP95","bK10X95P"
"(2010 XE98)","04:43:54.50","+18 59'02.6""","6.0e+3","9.0e+3","1.1e+4","21.9","3.9e+1","4.2e+0","2010 XE98","bK10X98E"
"(2010 XX108)","05:01:01.38","+20 18'57.4""","2.0e+4","1.0e+4","2.5e+4","22.4","1.6e+1","3.2e+0","2010 XX108","bK10XA8X"
"(2010 XW109)","04:49:18.94","+12 22'08.2""","1.0e+4","-1.0e+4","1.8e+4","21.9","1.4e+1","4.2e+0","2010 XW109","bK10XA9W"
"(2010 XO111)","04:37:55.41","+13 59'00.2""","9.2e+2","-9.0e+3","9.0e+3","22.2","1.2e+1","-3.5e+0","2010 XO111","bK10XB1O"
"(2010 XR113)","04:10:13.58","+18 06'06.1""","-2.0e+4","6.0e+3","2.4e+4","22.1","1.4e+0","-1.2e+0","2010 XR113","bK10XB3R"
"(2010 XV116)","04:58:25.54","+19 14'35.3""","2.0e+4","1.0e+4","2.1e+4","22.4","1.5e+1","-4.6e+0","2010 XV116","bK10XB6V"
"(2010 XF117)","04:19:39.15","+11 14'17.2""","-1.0e+4","-2.0e+4","2.4e+4","22.2","8.1e+0","-1.6e+0","2010 XF117","bK10XB7F"
"(2010 XR119)","04:24:19.37","+11 04'00.1""","-1.0e+4","-2.0e+4","2.2e+4","22.1","2.0e+1","-1.2e+0","2010 XR119","bK10XB9R"
"(2010 XY119)","04:27:27.00","+18 04'29.3""","-8.0e+3","6.0e+3","9.9e+3","22.2","1.0e+1","-5.4e+0","2010 XY119","bK10XB9Y"
"(2010 XE120)","04:26:53.41","+20 02'10.4""","-9.0e+3","1.0e+4","1.5e+4","22.4","1.8e+1","4.1e+0","2010 XE120","bK10XC0E"
"(2010 XN120)","04:17:29.35","+22 44'54.5""","-2.0e+4","2.0e+4","2.8e+4","22.8","2.2e+1","6.4e+0","2010 XN120","bK10XC0N"
"(2010 XX121)","04:28:43.67","+18 23'38.8""","-7.0e+3","7.0e+3","9.8e+3","22.6","1.7e+1","-4.9e+0","2010 XX121","bK10XC1X"
"(2010 YY)","05:02:34.79","+09 56'55.4""","2.0e+4","-2.0e+4","3.3e+4","22.1","1.3e+1","-2.0e+0","2010 YY","bK10Y00Y"
"(2010 YX6)","04:46:55.60","+18 28'01.3""","9.0e+3","7.0e+3","1.1e+4","22.1","1.6e+1","4.0e+0","2010 YX6","bK10Y06X"
"(2011 AF11)","04:56:26.29","+17 33'26.9""","2.0e+4","4.0e+3","1.7e+4","22.0","4.6e+1","-4.3e+0","2011 AF11","bK11A11F"
"(2011 AH19)","04:37:28.43","+11 28'17.1""","5.3e+2","-2.0e+4","1.8e+4","21.8","1.5e+1","1.2e+0","2011 AH19","bK11A19H"
"(2011 AT37)","04:48:47.24","+10 48'55.3""","1.0e+4","-2.0e+4","2.3e+4","22.3","8.1e+0","-1.9e+0","2011 AT37","bK11A37T"
"(2011 AP59)","04:58:55.28","+20 14'24.3""","2.0e+4","1.0e+4","2.3e+4","22.3","2.5e+1","1.8e+0","2011 AP59","bK11A59P"
"(2011 AT66)","04:22:07.28","+15 58'01.0""","-1.0e+4","-2.0e+3","1.3e+4","22.7","2.9e+1","7.4e-2","2011 AT66","bK11A66T"
"(2011 AG78)","04:18:25.16","+17 34'09.3""","-2.0e+4","4.0e+3","1.6e+4","21.9","8.0e+0","2.4e+0","2011 AG78","bK11A78G"
"(2011 AL82)","04:59:04.50","+22 59'46.2""","2.0e+4","2.0e+4","3.0e+4","23.1","2.8e+1","8.2e+0","2011 AL82","bK11A82L"
"(2011 AL92)","04:41:56.27","+18 37'55.5""","4.0e+3","8.0e+3","8.9e+3","23.4","2.3e+1","3.4e-1","2011 AL92","bK11A92L"
"(2011 AL98)","04:35:45.02","+22 10'52.3""","-9.6e+2","2.0e+4","2.1e+4","22.8","9.9e+0","3.8e+0","2011 AL98","bK11A98L"
"(2011 AK103)","04:10:39.95","+10 29'06.3""","-2.0e+4","-2.0e+4","3.1e+4","22.5","3.3e+0","-2.2e-1","2011 AK103","bK11AA3K"
"(2011 AQ105)","04:20:04.48","+16 05'11.4""","-1.0e+4","-1.0e+3","1.5e+4","22.7","5.7e+0","-5.1e-1","2011 AQ105","bK11AA5Q"
"(2011 BR6)","04:32:38.29","+20 10'14.9""","-4.0e+3","1.0e+4","1.4e+4","21.9","1.6e+1","3.8e+0","2011 BR6","bK11B06R"
"(2011 BX8)","04:56:17.80","+22 06'08.4""","2.0e+4","2.0e+4","2.6e+4","23.2","2.3e+1","4.7e+0","2011 BX8","bK11B08X"
"(2011 BZ13)","04:58:21.66","+12 35'09.7""","2.0e+4","-1.0e+4","2.3e+4","21.1","3.4e+1","6.9e-1","2011 BZ13","bK11B13Z"
"(2011 BQ89)","04:32:21.68","+22 50'54.5""","-4.0e+3","2.0e+4","2.3e+4","23.1","1.4e+1","2.7e+0","2011 BQ89","bK11B89Q"
"(2011 BO92)","04:49:39.03","+11 36'27.2""","1.0e+4","-2.0e+4","2.1e+4","21.3","2.0e+1","-7.6e+0","2011 BO92","bK11B92O"
"(2011 BL96)","05:03:04.40","+16 02'21.4""","2.0e+4","-2.0e+3","2.3e+4","21.4","3.4e+1","4.6e+0","2011 BL96","bK11B96L"
"(2011 BT108)","04:46:41.99","+19 13'15.2""","8.0e+3","1.0e+4","1.3e+4","23.3","2.8e+1","3.2e-1","2011 BT108","bK11BA8T"
"(2011 BR114)","04:14:28.43","+13 10'03.2""","-2.0e+4","-1.0e+4","2.3e+4","22.3","2.1e+1","-3.2e+0","2011 BR114","bK11BB4R"
"(2011 BV141)","04:44:25.10","+20 57'47.9""","7.0e+3","2.0e+4","1.7e+4","22.8","3.6e+1","1.1e+1","2011 BV141","bK11BE1V"
"(2011 BL173)","04:18:11.34","+18 23'43.1""","-2.0e+4","7.0e+3","1.7e+4","22.4","8.4e+0","7.0e-1","2011 BL173","bK11BH3L"
"(2011 BX173)","04:54:23.86","+14 09'44.0""","2.0e+4","-8.0e+3","1.7e+4","22.5","2.8e+1","2.0e+0","2011 BX173","bK11BH3X"
"(2011 BJ202)","04:14:55.23","+18 44'16.6""","-2.0e+4","8.0e+3","2.1e+4","22.9","2.9e+1","5.0e+0","2011 BJ202","bK11BK2J"
"(2011 BH207)","04:51:27.21","+20 02'13.7""","1.0e+4","1.0e+4","1.8e+4","23.3","2.3e+1","1.7e+0","2011 BH207","bK11BK7H"
"(2011 CD52)","04:54:33.31","+18 28'23.2""","2.0e+4","7.0e+3","1.7e+4","22.6","4.1e+1","2.6e+0","2011 CD52","bK11C52D"
"(2011 CL64)","04:44:56.16","+17 42'17.2""","7.0e+3","4.0e+3","8.2e+3","21.9","1.7e+1","4.6e+0","2011 CL64","bK11C64L"
"(2011 CL69)","04:46:50.50","+22 04'39.0""","9.0e+3","2.0e+4","2.2e+4","22.9","2.6e+1","3.6e+0","2011 CL69","bK11C69L"
"(2011 CX127)","04:37:12.58","+11 54'01.3""","3.0e+2","-2.0e+4","1.6e+4","22.9","1.0e+1","-3.9e+0","2011 CX127","bK11CC7X"
"(2011 CJ128)","04:11:55.02","+17 44'40.3""","-2.0e+4","5.0e+3","2.2e+4","22.7","2.1e+1","2.8e+0","2011 CJ128","bK11CC8J"
"(2011 CZ129)","04:53:54.04","+16 57'15.2""","1.0e+4","2.0e+3","1.5e+4","22.2","2.0e+1","1.5e+1","2011 CZ129","bK11CC9Z"
"(2011 CA137)","04:47:28.06","+21 15'30.0""","9.0e+3","2.0e+4","1.9e+4","22.7","1.8e+1","3.8e+0","2011 CA137","bK11CD7A"
"(2011 DS9)","04:18:06.85","+18 37'09.5""","-2.0e+4","8.0e+3","1.8e+4","26.9","-6.1e+0","-1.4e+0","2011 DS9","bK11D09S"
"(2011 DY30)","04:41:06.61","+21 54'41.1""","4.0e+3","2.0e+4","2.0e+4","23.3","1.1e+1","2.0e+0","2011 DY30","bK11D30Y"
"(2011 DG59)","04:46:01.43","+20 53'48.4""","8.0e+3","2.0e+4","1.8e+4","23.6","1.9e+1","-1.0e-1","2011 DG59","bK11D59G"
"(2011 DS59)","04:31:31.81","+18 39'04.4""","-5.0e+3","8.0e+3","9.1e+3","24.0","1.4e+1","-6.4e-1","2011 DS59","bK11D59S"
"(2011 DW60)","04:35:43.56","+19 23'58.5""","-9.8e+2","1.0e+4","1.1e+4","23.3","1.8e+1","1.1e+0","2011 DW60","bK11D60W"
"(2011 ED41)","04:15:40.94","+17 48'41.5""","-2.0e+4","5.0e+3","1.9e+4","24.0","1.1e+1","1.0e+1","2011 ED41","bK11E41D"
"(2011 ER48)","04:17:13.49","+19 46'13.7""","-2.0e+4","1.0e+4","2.1e+4","22.7","2.0e+1","8.9e+0","2011 ER48","bK11E48R"
"(2011 EK61)","04:17:36.94","+15 50'27.5""","-2.0e+4","-2.0e+3","1.7e+4","22.7","3.2e+0","3.2e+0","2011 EK61","bK11E61K"
"(2011 FQ2)","04:16:42.82","+10 23'53.7""","-2.0e+4","-2.0e+4","2.8e+4","30.7","-5.8e+0","-7.8e+0","2011 FQ2","bK11F02Q"
"(2011 FT9)","04:36:37.71","+23 03'45.0""","-2.0e+2","2.0e+4","2.4e+4","29.7","1.8e+1","7.8e+0","2011 FT9","bK11F09T"
"(2011 FO74)","04:54:10.73","+17 25'17.9""","1.0e+4","3.0e+3","1.5e+4","23.1","1.6e+1","-3.1e+0","2011 FO74","bK11F74O"
"(2011 FL79)","04:11:36.19","+20 04'53.8""","-2.0e+4","1.0e+4","2.5e+4","22.8","3.3e+0","3.7e+0","2011 FL79","bK11F79L"
"(2011 FG89)","04:14:07.46","+18 58'42.9""","-2.0e+4","9.0e+3","2.1e+4","21.0","1.0e+1","1.4e+1","2011 FG89","bK11F89G"
"(2011 FZ92)","04:09:46.90","+14 02'53.8""","-2.0e+4","-9.0e+3","2.5e+4","21.9","9.9e+0","-9.3e+0","2011 FZ92","bK11F92Z"
"(2011 FY147)","05:00:25.97","+22 40'07.0""","2.0e+4","2.0e+4","3.0e+4","22.1","1.3e+1","9.7e+0","2011 FY147","bK11FE7Y"
"(2011 FF158)","04:15:54.75","+18 10'56.0""","-2.0e+4","6.0e+3","1.9e+4","21.9","2.7e+1","6.4e+0","2011 FF158","bK11FF8F"
"(2011 FV165)","04:32:32.23","+21 31'47.7""","-4.0e+3","2.0e+4","1.9e+4","22.1","1.7e+1","-1.2e+0","2011 FV165","bK11FG5V"
"(2011 GE25)","04:39:11.11","+22 45'00.6""","2.0e+3","2.0e+4","2.3e+4","22.8","1.1e+1","-2.4e-1","2011 GE25","bK11G25E"
"(2011 GV34)","04:24:59.81","+17 28'49.3""","-1.0e+4","4.0e+3","1.1e+4","21.1","2.6e+1","-1.0e+1","2011 GV34","bK11G34V"
"(2011 GG35)","04:21:22.06","+21 50'48.9""","-1.0e+4","2.0e+4","2.3e+4","23.3","6.4e+0","8.7e-1","2011 GG35","bK11G35G"
"(2011 GM36)","04:26:42.90","+19 40'15.2""","-9.0e+3","1.0e+4","1.4e+4","23.1","6.2e+0","-5.8e+0","2011 GM36","bK11G36M"
"(2011 GE40)","04:12:53.71","+19 00'02.1""","-2.0e+4","9.0e+3","2.2e+4","22.6","7.7e+0","2.8e+0","2011 GE40","bK11G40E"
"(2011 GB43)","04:17:05.61","+22 45'19.3""","-2.0e+4","2.0e+4","2.8e+4","23.6","1.1e+1","6.8e+0","2011 GB43","bK11G43B"
"(2011 GN83)","04:27:32.09","+14 43'53.5""","-8.0e+3","-6.0e+3","1.0e+4","22.4","8.6e+0","-8.0e-1","2011 GN83","bK11G83N"
"(2011 GC92)","04:58:06.16","+14 14'38.7""","2.0e+4","-8.0e+3","2.0e+4","22.1","1.3e+1","3.0e+0","2011 GC92","bK11G92C"
"(2011 GC101)","04:49:56.77","+10 29'37.2""","1.0e+4","-2.0e+4","2.4e+4","22.1","1.4e+1","-1.2e+1","2011 GC101","bK11GA1C"
"(2011 GL106)","04:22:59.40","+21 20'40.0""","-1.0e+4","2.0e+4","2.1e+4","22.8","2.0e+0","9.2e+0","2011 GL106","bK11GA6L"
"(2011 HT9)","04:12:16.38","+15 01'36.9""","-2.0e+4","-5.0e+3","2.2e+4","22.7","1.7e+0","4.1e-2","2011 HT9","bK11H09T"
"(2011 HM18)","04:23:31.66","+11 11'01.7""","-1.0e+4","-2.0e+4","2.2e+4","22.5","1.9e+1","-8.2e+0","2011 HM18","bK11H18M"
"(2011 HC61)","04:37:39.76","+17 02'00.7""","6.9e+2","2.0e+3","2.1e+3","20.8","1.6e+1","1.4e+1","2011 HC61","bK11H61C"
"(2011 HR77)","04:45:50.25","+15 11'20.4""","8.0e+3","-5.0e+3","9.0e+3","22.5","1.1e+1","-2.1e+1","2011 HR77","bK11H77R"
"(2011 HG88)","05:04:36.29","+23 02'43.1""","2.0e+4","2.0e+4","3.3e+4","22.5","2.5e+1","4.5e+0","2011 HG88","bK11H88G"
"(2011 HX92)","04:48:23.74","+18 44'57.7""","1.0e+4","8.0e+3","1.3e+4","22.2","1.6e+1","-7.7e-1","2011 HX92","bK11H92X"
"(2011 HH98)","04:37:21.46","+18 46'45.6""","4.3e+2","8.0e+3","8.3e+3","23.7","5.0e+0","-2.5e+0","2011 HH98","bK11H98H"
"(2011 HO98)","04:11:54.08","+21 28'31.2""","-2.0e+4","2.0e+4","2.8e+4","23.1","3.5e+0","3.6e+0","2011 HO98","bK11H98O"
"(2011 HE110)","04:46:35.81","+20 47'09.5""","8.0e+3","2.0e+4","1.8e+4","22.8","1.4e+1","1.0e+0","2011 HE110","bK11HB0E"
"(2011 HV110)","04:55:37.19","+12 07'41.2""","2.0e+4","-2.0e+4","2.3e+4","23.6","1.3e+1","-2.4e+0","2011 HV110","bK11HB0V"
"(2011 JV10)","04:19:28.97","+22 38'16.3""","-1.0e+4","2.0e+4","2.7e+4","30.1","8.9e+1","1.6e+1","2011 JV10","bK11J10V"
"(2011 JL11)","04:29:05.36","+20 45'27.8""","-7.0e+3","2.0e+4","1.7e+4","22.1","7.1e+0","9.0e+0","2011 JL11","bK11J11L"
"(2011 JE18)","04:23:27.87","+18 11'08.5""","-1.0e+4","6.0e+3","1.3e+4","22.7","1.1e+1","2.6e+0","2011 JE18","bK11J18E"
"(2011 JE24)","04:58:38.49","+10 10'40.8""","2.0e+4","-2.0e+4","3.0e+4","23.1","1.4e+1","-1.3e+1","2011 JE24","bK11J24E"
"(2011 JC25)","05:04:17.04","+17 59'36.6""","2.0e+4","5.0e+3","2.4e+4","23.2","1.8e+1","-7.4e+0","2011 JC25","bK11J25C"
"(2011 JW32)","04:11:37.27","+15 46'29.2""","-2.0e+4","-3.0e+3","2.2e+4","22.8","3.7e+0","-2.0e+0","2011 JW32","bK11J32W"
"(2011 JJ37)","05:04:17.61","+21 15'09.3""","2.0e+4","2.0e+4","2.9e+4","22.8","1.9e+1","-2.5e-1","2011 JJ37","bK11J37J"
"(2011 JP37)","04:50:41.10","+10 38'47.6""","1.0e+4","-2.0e+4","2.4e+4","23.3","1.0e+1","-2.4e+0","2011 JP37","bK11J37P"
"(2011 KO1)","05:02:34.79","+13 10'29.6""","2.0e+4","-1.0e+4","2.5e+4","23.3","1.2e+1","-1.0e+1","2011 KO1","bK11K01O"
"(2011 KW7)","04:10:15.85","+21 56'31.9""","-2.0e+4","2.0e+4","3.0e+4","22.0","7.0e+0","-4.7e+0","2011 KW7","bK11K07W"
"(2011 KU25)","04:25:02.55","+15 04'18.9""","-1.0e+4","-5.0e+3","1.1e+4","23.3","6.1e+0","-4.0e+0","2011 KU25","bK11K25U"
"(2011 KX32)","04:39:31.42","+18 00'59.8""","2.0e+3","6.0e+3","6.0e+3","22.3","1.5e+1","1.9e+0","2011 KX32","bK11K32X"
"(2011 KF51)","05:05:06.00","+16 19'41.4""","2.0e+4","-5.3e+2","2.4e+4","21.8","1.8e+1","9.5e+0","2011 KF51","bK11K51F"
"(2011 KY53)","04:23:20.28","+17 46'17.5""","-1.0e+4","5.0e+3","1.3e+4","23.6","1.0e+1","-2.0e+0","2011 KY53","bK11K53Y"
"(2011 KH56)","04:18:57.56","+22 27'38.1""","-2.0e+4","2.0e+4","2.6e+4","23.2","6.4e+0","1.9e+0","2011 KH56","bK11K56H"
"(2011 KO56)","04:55:24.96","+19 25'50.7""","2.0e+4","1.0e+4","1.9e+4","23.7","1.1e+1","-2.3e+0","2011 KO56","bK11K56O"
"(2011 KU56)","04:44:11.56","+20 16'08.7""","6.0e+3","1.0e+4","1.5e+4","23.2","9.0e+0","1.8e+0","2011 KU56","bK11K56U"
"(2011 KY57)","04:39:55.23","+18 06'05.1""","3.0e+3","6.0e+3","6.4e+3","23.9","7.0e+0","-2.4e+0","2011 KY57","bK11K57Y"
"(2011 KJ59)","04:12:24.37","+18 18'22.9""","-2.0e+4","7.0e+3","2.2e+4","22.6","1.5e+1","2.5e+0","2011 KJ59","bK11K59J"
"(2011 KQ59)","04:54:52.92","+19 23'30.5""","2.0e+4","1.0e+4","1.9e+4","23.9","2.0e+1","2.8e-1","2011 KQ59","bK11K59Q"
"(2011 LE7)","05:03:33.24","+16 06'28.7""","2.0e+4","-1.0e+3","2.3e+4","23.4","1.4e+1","-1.6e+0","2011 LE7","bK11L07E"
"(2011 LJ10)","04:53:08.40","+21 34'51.6""","1.0e+4","2.0e+4","2.3e+4","21.8","1.5e+1","4.0e+0","2011 LJ10","bK11L10J"
"(2011 LB12)","04:45:19.19","+20 46'29.4""","7.0e+3","2.0e+4","1.7e+4","23.0","1.5e+1","1.1e+0","2011 LB12","bK11L12B"
"(2011 LJ22)","04:38:45.91","+10 49'28.5""","2.0e+3","-2.0e+4","2.0e+4","22.7","8.1e+0","-2.1e+0","2011 LJ22","bK11L22J"
"(2011 LY26)","05:03:42.48","+10 28'08.9""","2.0e+4","-2.0e+4","3.2e+4","21.0","2.3e+1","-3.9e+0","2011 LY26","bK11L26Y"
"(2011 LO29)","04:55:18.48","+17 05'50.0""","2.0e+4","2.0e+3","1.6e+4","23.2","1.4e+1","-6.7e+0","2011 LO29","bK11L29O"
"(2011 LP34)","04:25:33.69","+20 51'50.9""","-1.0e+4","2.0e+4","1.9e+4","22.5","7.4e+0","-6.3e+0","2011 LP34","bK11L34P"
"(2011 LS34)","04:14:53.68","+18 05'03.8""","-2.0e+4","6.0e+3","2.0e+4","23.1","5.5e+0","-2.9e+0","2011 LS34","bK11L34S"
"(2011 ME6)","04:56:43.43","+17 12'52.7""","2.0e+4","3.0e+3","1.7e+4","22.6","1.5e+1","-1.2e+0","2011 ME6","bK11M06E"
"(2011 MB14)","04:39:57.53","+20 32'02.4""","3.0e+3","1.0e+4","1.5e+4","24.5","1.1e+1","1.7e+0","2011 MB14","bK11M14B"
"(2011 OA19)","04:55:51.44","+21 00'44.9""","2.0e+4","2.0e+4","2.3e+4","24.1","2.3e+1","-5.3e+0","2011 OA19","bK11O19A"
"(2011 OU36)","04:27:37.25","+14 15'43.9""","-8.0e+3","-8.0e+3","1.1e+4","22.4","9.4e+0","-6.3e-1","2011 OU36","bK11O36U"
"(2011 OM38)","04:30:41.73","+19 09'09.2""","-5.0e+3","1.0e+4","1.1e+4","22.3","9.1e+0","3.0e+0","2011 OM38","bK11O38M"
"(2011 OT51)","04:50:34.06","+15 33'56.0""","1.0e+4","-3.0e+3","1.2e+4","21.1","2.1e+1","-1.5e+0","2011 OT51","bK11O51T"
"(2011 OL56)","04:31:57.78","+20 16'27.8""","-4.0e+3","1.0e+4","1.4e+4","22.4","1.8e+1","6.0e+0","2011 OL56","bK11O56L"
"(2011 OG63)","04:28:54.99","+13 21'27.9""","-7.0e+3","-1.0e+4","1.3e+4","21.6","2.0e+1","-1.6e+0","2011 OG63","bK11O63G"
"(2011 ON64)","04:32:30.10","+18 43'53.1""","-4.0e+3","8.0e+3","8.9e+3","22.1","1.6e+1","5.3e+0","2011 ON64","bK11O64N"
"(2011 OW69)","04:49:45.47","+12 36'04.9""","1.0e+4","-1.0e+4","1.8e+4","22.5","1.9e+1","-6.2e+0","2011 OW69","bK11O69W"
"(2011 OD71)","04:43:41.49","+18 45'13.3""","6.0e+3","8.0e+3","1.0e+4","22.0","2.0e+1","5.5e+0","2011 OD71","bK11O71D"
"(2011 PS2)","04:43:19.70","+11 31'22.8""","6.0e+3","-2.0e+4","1.9e+4","22.8","9.5e+0","-1.7e+0","2011 PS2","bK11P02S"
"(2011 PU10)","04:13:33.13","+18 54'38.9""","-2.0e+4","9.0e+3","2.2e+4","21.7","8.1e+0","5.9e+0","2011 PU10","bK11P10U"
"(2011 PO21)","05:04:54.40","+12 55'24.5""","2.0e+4","-1.0e+4","2.8e+4","22.4","3.0e+1","-1.1e+1","2011 PO21","bK11P21O"
"(2011 QL7)","04:34:00.80","+17 27'03.7""","-2.0e+3","4.0e+3","4.3e+3","22.4","1.5e+1","-3.6e+0","2011 QL7","bK11Q07L"
"(2011 QX42)","04:27:21.22","+15 23'37.5""","-8.0e+3","-4.0e+3","9.1e+3","22.3","1.5e+1","-2.2e+0","2011 QX42","bK11Q42X"
"(2011 QU63)","04:54:44.63","+17 10'37.0""","2.0e+4","3.0e+3","1.6e+4","21.9","3.4e+1","-9.1e+0","2011 QU63","bK11Q63U"
"(2011 QH73)","04:31:51.28","+21 04'30.3""","-4.0e+3","2.0e+4","1.7e+4","24.0","1.8e+1","-2.2e+0","2011 QH73","bK11Q73H"
"(2011 QP81)","04:46:45.97","+22 23'15.9""","9.0e+3","2.0e+4","2.3e+4","23.2","1.5e+1","3.9e+0","2011 QP81","bK11Q81P"
"(2011 QH96)","04:39:09.26","+22 14'25.0""","2.0e+3","2.0e+4","2.1e+4","23.0","9.3e+0","1.6e+0","2011 QH96","bK11Q96H"
"(2011 QO97)","04:43:49.16","+20 56'47.0""","6.0e+3","2.0e+4","1.7e+4","21.7","2.6e+1","1.5e-1","2011 QO97","bK11Q97O"
"(2011 QF99)","04:59:54.00","+17 06'23.8""","2.0e+4","2.0e+3","2.0e+4","22.6","-2.3e-1","-1.0e+0","2011 QF99","bK11Q99F"
"(2011 QW111)","04:30:17.95","+22 53'51.9""","-6.0e+3","2.0e+4","2.4e+4","22.0","1.5e+1","8.0e-1","2011 QW111","bK11QB1W"
"(2011 QD112)","05:03:49.37","+17 22'55.8""","2.0e+4","3.0e+3","2.3e+4","22.8","2.1e+1","-3.9e+0","2011 QD112","bK11QB2D"
"(2011 QV114)","04:44:48.36","+18 51'51.9""","7.0e+3","9.0e+3","1.1e+4","23.0","1.4e+1","7.5e-1","2011 QV114","bK11QB4V"
"(2011 RA5)","04:51:46.73","+22 16'47.6""","1.0e+4","2.0e+4","2.4e+4","21.7","3.1e+1","-3.2e+0","2011 RA5","bK11R05A"
"(2011 RY22)","04:47:50.59","+15 50'28.4""","9.0e+3","-2.0e+3","9.8e+3","21.9","2.1e+1","-8.1e+0","2011 RY22","bK11R22Y"
"(2011 RH28)","04:40:27.77","+15 26'32.6""","3.0e+3","-4.0e+3","4.9e+3","22.3","1.8e+1","-3.0e+0","2011 RH28","bK11R28H"
"(2011 RQ33)","04:43:29.62","+16 30'20.8""","6.0e+3","1.1e+2","5.7e+3","23.7","8.1e+0","-5.1e+0","2011 RQ33","bK11R33Q"
"(2011 RK37)","04:44:16.07","+22 57'51.9""","6.0e+3","2.0e+4","2.4e+4","23.4","1.8e+1","1.4e+0","2011 RK37","bK11R37K"
"(2011 SK4)","04:10:43.68","+22 40'11.6""","-2.0e+4","2.0e+4","3.1e+4","22.9","2.8e+1","9.5e+0","2011 SK4","bK11S04K"
"(2011 SY9)","04:47:13.04","+17 05'10.4""","9.0e+3","2.0e+3","9.2e+3","22.1","3.1e+1","-6.0e+0","2011 SY9","bK11S09Y"
"(2011 SR12)","04:24:04.28","+14 25'59.6""","-1.0e+4","-7.0e+3","1.3e+4","25.5","-7.1e+0","-7.8e+0","2011 SR12","bK11S12R"
"(2011 SN18)","04:32:31.07","+18 07'38.2""","-4.0e+3","6.0e+3","7.0e+3","22.8","1.1e+1","-5.8e+0","2011 SN18","bK11S18N"
"(2011 ST36)","04:32:29.18","+17 34'57.7""","-4.0e+3","4.0e+3","5.5e+3","22.1","3.2e+1","2.4e+0","2011 ST36","bK11S36T"
"(2011 SB79)","05:04:10.38","+19 22'30.2""","2.0e+4","1.0e+4","2.6e+4","22.0","2.0e+1","-1.6e+0","2011 SB79","bK11S79B"
"(2011 SK128)","04:19:24.54","+18 35'02.8""","-2.0e+4","8.0e+3","1.7e+4","22.4","1.4e+1","-9.0e-1","2011 SK128","bK11SC8K"
"(2011 SZ134)","04:45:57.65","+21 45'54.7""","8.0e+3","2.0e+4","2.1e+4","22.2","2.8e+1","3.4e+0","2011 SZ134","bK11SD4Z"
"(2011 SG145)","04:48:11.06","+21 23'57.6""","1.0e+4","2.0e+4","2.0e+4","23.2","1.2e+1","-8.2e-1","2011 SG145","bK11SE5G"
"(2011 SG146)","04:54:14.07","+16 32'03.0""","1.0e+4","2.1e+2","1.5e+4","22.4","1.6e+1","-7.9e+0","2011 SG146","bK11SE6G"
"(2011 SS150)","04:26:35.74","+20 44'48.4""","-9.0e+3","2.0e+4","1.8e+4","22.8","3.9e+1","6.8e+0","2011 SS150","bK11SF0S"
"(2011 SV188)","04:37:47.05","+17 32'25.4""","8.0e+2","4.0e+3","3.9e+3","22.6","1.7e+1","-8.4e+0","2011 SV188","bK11SI8V"
"(2011 SU224)","04:26:04.87","+17 16'33.9""","-9.0e+3","3.0e+3","9.7e+3","22.0","1.4e+1","-2.8e+0","2011 SU224","bK11SM4U"
"(2011 SM228)","04:54:47.72","+20 13'31.7""","2.0e+4","1.0e+4","2.0e+4","22.5","1.0e+1","-6.0e+0","2011 SM228","bK11SM8M"
"(2011 SA239)","04:49:55.35","+21 54'48.7""","1.0e+4","2.0e+4","2.3e+4","22.9","1.8e+1","2.0e+0","2011 SA239","bK11SN9A"
"(2011 SJ244)","04:41:12.49","+16 22'58.2""","4.0e+3","-3.3e+2","3.8e+3","23.1","3.2e+1","-2.8e+0","2011 SJ244","bK11SO4J"
"(2011 SP257)","04:19:59.09","+19 14'57.7""","-1.0e+4","1.0e+4","1.8e+4","22.4","1.0e+1","8.1e+0","2011 SP257","bK11SP7P"
"(2011 SE277)","04:36:01.89","+18 44'25.0""","-7.2e+2","8.0e+3","8.2e+3","22.6","2.3e+1","-3.1e+0","2011 SE277","bK11SR7E"
"(2011 SR292)","04:47:04.29","+15 58'36.1""","9.0e+3","-2.0e+3","9.0e+3","22.9","3.3e+1","-8.4e+0","2011 SR292","bK11ST2R"
"(2011 SU304)","04:42:49.78","+15 13'31.5""","5.0e+3","-5.0e+3","6.9e+3","21.7","2.5e+1","-3.5e+0","2011 SU304","bK11SU4U"
"(2011 SZ306)","04:55:35.65","+21 37'00.5""","2.0e+4","2.0e+4","2.4e+4","22.8","3.8e+1","5.3e+0","2011 SZ306","bK11SU6Z"
"(2011 SO313)","04:31:37.93","+11 49'49.0""","-5.0e+3","-2.0e+4","1.7e+4","23.3","6.5e+0","-8.2e+0","2011 SO313","bK11SV3O"
"(2011 SQ326)","04:14:38.35","+15 28'56.0""","-2.0e+4","-4.0e+3","2.0e+4","22.0","5.0e+0","9.3e+0","2011 SQ326","bK11SW6Q"
